34196 71447
441 577 12941
871 10720 3550
1616 20605 850
4984 30160 430
1107 15515 455
21562 24941 197
620 7596 34350
13801 17426 853
5145 9281 281
2927 4512 1864
1449 12312 14661
620 2702 34460
2284 5722 226
21790 29611 58
16369 23711 236
795 7589 3233
12530 34154 281
68 33420 40147
620 6403 33724
917 16369 30311
32580 32606 47
366 7272 694
1239 22970 1361
6595 8369 62
1273 12474 11360
9828 11677 1854
620 10223 33579
938 5628 1535
6655 17392 1796
1609 7864 1707
3980 9148 442
5110 9301 2870
212 9391 23937
1449 31846 14892
4380 19502 945
656 20559 3544
2054 20952 961
212 3585 18883
19532 30186 620
943 8085 701
26688 27605 2179
58 365 745
53 917 34050
212 17061 26043
620 11740 27647
1449 4500 19760
9816 28855 141
10745 27857 377
8354 15882 138
620 23220 30956
8112 16263 430
18717 26256 52
4380 9539 1143
577 11468 16367
286 21212 583
620 1193 29029
2364 20600 6300
6546 6853 5119
18400 29202 607
481 11285 4988
512 7798 13023
577 1701 13308
16290 16351 412
6546 20791 4612
728 7768 1268
8483 13672 337
10992 12438 331
1273 16816 9648
2364 12901 6205
196 11405 1805
593 8245 2083
12384 29549 303
620 33818 36370
68 3939 44056
3438 9821 7094
841 25396 85
2736 9720 1116
23528 23817 77
620 1273 41823
5588 13424 83
32464 32731 58
30610 32868 103
496 22020 990
674 1123 1172
917 20113 29627
13333 25769 137
212 16630 25384
68 9023 42546
440 512 11067
1821 9815 270
12237 18027 127
2674 7919 874
2364 16212 4997
663 30026 10405
13385 21516 143
4867 15043 358
1395 6676 7361
22376 28286 56
917 15143 31810
1849 3675 2142
30269 31244 581
13952 20855 79
15059 21815 59
1548 1555 203
19321 19536 126
19437 30382 63
68 1957 43141
212 2128 21939
512 8693 13200
1273 3983 9471
4891 13836 119
212 15829 20243
3646 17943 102
25197 25483 237
4669 10184 327
5646 7925 76
5391 24752 643
15011 22462 330
2581 13482 559
3438 20823 4981
620 3156 34463
1271 15626 5125
1688 19279 988
1449 7976 19624
871 21553 2230
917 5655 34946
3200 30108 311
68 14359 45091
1395 8373 4351
1198 5811 853
24079 24218 107
2306 2349 1977
358 18059 1486
552 22441 4538
13776 20419 2226
2811 33733 832
16174 25101 299
2123 17276 1350
212 1382 22843
3790 9991 155
917 3513 27758
577 26946 11739
1198 7095 814
1808 10017 3241
663 2286 11101
14015 14729 360
7589 19377 1186
8552 9767 167
1911 22283 303
1808 26847 3882
620 33846 30399
1792 30048 1049
780 5637 3608
1488 33456 164
192 25773 1466
68 26726 44129
4241 8713 145
19323 32757 210
620 8674 36845
19421 31947 187
917 13460 32953
21580 25955 1294
2131 22327 130
9954 11790 496
14479 22259 112
1367 4512 5122
9491 32524 158
14619 26670 136
30275 30519 46
512 7985 11885
8853 11379 466
20473 25362 198
1688 9521 829
192 24017 1505
512 16742 13235
136 6387 4394
843 23833 510
315 14431 97
2832 31008 113
68 6569 33469
573 21857 1344
1715 1771 2060
9571 30326 1497
1885 18861 91
68 1676 39514
400 620 32772
29972 30486 640
13930 27605 2748
1914 12348 335
512 5904 16281
2011 17097 654
917 17795 37953
10186 13472 266
1395 18074 5517
6577 26511 493
3484 3798 1477
31739 32631 161
945 7878 105
1325 27290 1054
206 15033 527
6676 15797 1572
577 3528 13886
2002 19051 147
68 2018 36447
2174 15959 8511
212 435 21240
2614 23904 760
795 19366 1841
3581 9961 869
207 10422 2274
6377 9013 303
16303 24655 244
5803 7963 648
360 8137 990
552 18752 4998
3114 4165 102
1468 20530 10870
31 14239 263
663 19376 11066
212 12101 25057
2123 4836 1033
474 20353 534
68 2174 40631
68 18488 34059
2904 2979 435
917 2054 32440
6676 22326 2161
78 4600 7419
27605 33944 1825
9809 27605 1661
9013 11206 269
455 7392 119
512 34110 14120
2364 20505 4633
1024 1352 960
212 17310 19868
23988 25385 83
212 750 25046
22961 26179 89
1184 1468 9516
620 4677 28046
19242 19558 268
620 18576 29001
2306 16282 1975
207 8451 2676
212 6408 24232
68 6260 45066
6541 7469 3017
891 917 36375
19500 22715 59
68 1439 43812
935 7947 899
20623 20911 90
3200 30853 266
577 18216 15261
780 20885 2803
7986 21472 886
1867 14695 855
1113 3591 3500
30014 31746 1184
1198 1471 3210
212 7729 23972
6660 22464 364
2892 3828 283
177 604 3672
917 25644 36906
121 620 36958
212 1809 24087
6966 14786 334
29951 30397 229
6640 18579 218
30544 32345 32
917 23616 27222
917 1630 30418
165 665 2290
68 10436 39028
29886 30269 559
68 22779 37891
656 12617 3615
16965 20724 422
576 12213 2290
719 21742 393
10668 28347 141
1284 1468 10019
577 3588 11593
917 24657 37705
1843 3819 407
1609 7779 1910
2174 18636 10002
8056 20327 1272
136 21472 5690
1273 8831 9205
2486 23821 432
620 1755 26698
3505 4878 2135
3037 9169 437
212 4442 25712
21535 25484 816
68 4299 43879
78 941 8302
390 2585 1643
1288 4224 574
7524 20160 367
136 12779 4889
212 1198 21845
1106 2181 158
8479 14442 257
879 25574 708
1449 1635 20708
563 917 39540
570 20927 358
604 17936 3210
917 12874 29629
5508 23493 219
917 1056 31684
5493 20315 929
6021 33180 153
620 16771 31736
1731 3689 6928
212 19854 17863
620 27301 34873
917 21854 29486
68 2227 34571
786 20223 222
1731 2759 7195
121 14126 1533
608 14698 2596
917 2116 35283
1449 16626 20238
2174 15100 9855
15540 28039 371
5549 16337 193
4043 17176 152
17686 29622 413
1271 3689 4918
1273 3007 10436
729 16843 75
6546 15541 5622
3259 19978 56
3798 8198 1385
12019 18587 60
7729 8977 388
4350 7639 85
912 4512 4232
1367 30614 5687
68 16112 46464
19532 30751 363
663 5931 9685
1731 14077 6090
917 3780 34177
2178 17288 883
2532 29301 327
917 1371 28478
4773 6932 161
17993 28041 237
917 12438 29521
1731 3199 6504
2904 6052 214
31164 32703 95
9815 15618 87
620 8902 36650
13851 16974 53
1271 21535 5321
917 33969 38362
1449 11166 19477
1619 20296 529
1468 8858 9534
212 24935 18733
1468 3888 8574
5977 9443 1171
577 1271 17398
9954 21126 655
512 24182 14005
15959 29524 60
620 5223 30354
663 28882 10874
608 10690 4199
16058 16862 263
557 29478 937
2174 22441 7529
3093 7134 1188
620 11407 27361
9912 17897 185
31896 32325 52
1367 2706 4540
22101 28952 111
1449 15337 20192
1468 15462 7450
365 2830 756
3031 4328 163
2174 9880 8996
1449 10399 20804
691 871 3347
3571 15384 597
1731 20196 7733
13352 20342 100
13327 24119 589
871 2655 3302
1468 3032 11477
4771 8318 523
577 14922 12499
1449 16673 18270
30462 31611 77
12618 16668 390
119 26737 431
2364 21556 4870
3675 9310 2345
13017 32952 380
2383 2496 661
620 10690 39434
2364 13368 4836
3436 12168 194
577 15346 13791
152 29550 554
3591 9994 1466
3038 6219 514
13857 22115 100
780 15461 2912
19478 22592 1300
1369 15205 581
13782 13971 375
917 9678 36288
1449 19691 17753
663 5977 9880
121 450 1912
1731 11540 6295
212 13643 22603
1583 2635 993
2736 30778 1395
620 6102 27313
161 656 4391
6245 7554 569
604 3771 3197
8008 20593 249
577 6732 16397
68 20161 32877
917 6059 40288
13443 25941 173
1449 22267 18651
1808 12484 3198
665 4412 1091
6655 17034 1995
5628 20426 1420
3391 6562 299
2811 4166 1425
1367 13175 5220
1804 2069 388
1468 11312 7462
15497 26991 235
917 8916 30554
68 17827 35791
380 7239 451
577 2183 13224
1380 21275 309
512 5836 14713
1207 1273 11265
137 11197 769
1395 17998 4997
2364 24415 5984
1449 7600 18664
136 34028 4901
6546 22516 5158
360 6751 1517
68 34069 35419
656 1731 10594
2333 3064 286
28 100 187
576 3822 1440
212 11621 21533
19367 30419 127
8245 11621 1598
12392 14409 24
3683 13894 191
7806 24054 238
917 13949 38423
1271 1874 5746
2364 20327 5835
1159 5050 101
3505 16058 2364
6546 22881 4257
68 1041 43661
552 16058 4158
620 10389 24733
8014 25013 638
3438 8193 6526
9727 18045 35
10264 23114 89
1972 15012 679
5544 23885 546
2386 7930 211
212 9619 26145
780 919 5956
917 11734 37880
7524 8896 278
425 3784 754
6267 7373 1433
1273 4094 8988
212 18589 19067
719 28436 480
1956 2219 832
1395 4691 4416
5391 5628 1730
212 31129 22490
9581 30014 1600
138 2626 458
620 1107 36879
78 14185 7299
4865 27310 106
212 17235 19317
567 4649 172
1468 19853 10031
2190 18403 677
917 14369 40241
212 11273 21197
6655 11618 2129
15011 22938 351
2116 9808 507
512 15405 14745
12204 15120 1091
1972 20752 938
68 14887 32389
917 17362 34969
10066 13691 641
974 2835 329
10330 33206 49
512 14187 12629
2148 15852 223
1728 3832 1452
68 1656 37791
8291 15347 117
1273 1281 11165
3200 31195 314
917 4003 38882
1450 1731 6416
1449 1480 15607
3199 33715 111
136 20162 4184
1512 4172 61
4380 31635 1272
10568 12979 1843
11285 33481 1380
14388 26197 147
3832 16295 1705
917 22590 33461
998 33815 433
23879 25852 30
68 16650 35558
8010 16185 472
871 2365 3148
2174 15937 6910
8705 31292 768
577 12150 14183
68 9133 34960
1239 23158 1378
912 16197 3006
1449 11362 19760
9901 16049 626
241 24442 135
136 12712 4809
3579 26142 549
212 3424 20907
577 18721 11690
5628 25295 1163
2486 8100 503
1468 33328 9953
212 30755 25802
573 8474 332
663 31862 8442
2189 14031 953
1273 1697 9071
2174 17608 7888
620 6766 31069
195 2652 600
917 26272 36474
5028 7134 899
207 7112 2321
618 13972 731
68 14553 47425
212 14706 21901
620 21946 35246
917 29382 34107
3438 22238 5616
935 2671 874
3712 11983 1837
620 33719 27322
17176 26139 152
5931 29808 325
2994 16780 2113
780 18321 2816
512 3032 12042
6700 15489 362
5926 6432 588
8141 21589 46
9828 19064 1491
917 12359 31940
3438 17536 6022
212 5231 23876
577 5713 15952
577 22009 12317
593 28415 1367
68 11308 43764
2116 12417 670
828 1449 20998
212 6519 22157
6999 32737 391
2162 3591 1537
3432 3438 5589
212 5625 20883
19352 30016 126
552 15757 4483
204 6741 3614
620 7636 27545
481 4237 2639
17652 27506 40
577 12210 15871
14503 16290 51
212 6906 22229
13909 18829 163
2787 16780 2167
1395 11731 6026
3532 8527 188
9999 10138 269
576 3687 1067
577 33849 13788
1449 26792 15895
2174 14672 9544
3478 13096 196
1449 33285 15136
1104 26433 1920
2364 24591 4865
1880 17393 2750
917 5491 39978
68 16814 37473
6700 22418 272
32124 32310 42
546 4844 834
3832 12914 1677
